categoria,ent,fecha,popularity_score
Restaurantes,Aguascalientes,2020-03-29,69
Restaurantes,Aguascalientes,2020-04-05,55
Restaurantes,Aguascalientes,2020-04-12,88
Restaurantes,Aguascalientes,2020-04-19,65
Restaurantes,Aguascalientes,2020-04-26,92
Restaurantes,Aguascalientes,2020-05-03,55
Restaurantes,Aguascalientes,2020-05-10,81
Restaurantes,Aguascalientes,2020-05-17,87
Restaurantes,Aguascalientes,2020-05-24,90
Restaurantes,Aguascalientes,2020-05-31,64
Restaurantes,Aguascalientes,2020-06-07,52
Restaurantes,Aguascalientes,2020-06-14,48
Restaurantes,Aguascalientes,2020-06-21,45
Restaurantes,Aguascalientes,2020-06-28,90
Restaurantes,Aguascalientes,2020-07-05,51
Restaurantes,Aguascalientes,2020-07-12,69
Restaurantes,Aguascalientes,2020-07-19,65
Restaurantes,Aguascalientes,2020-07-26,56
Restaurantes,Aguascalientes,2020-08-02,67
Restaurantes,Aguascalientes,2020-08-09,85
Restaurantes,Aguascalientes,2020-08-16,70
Restaurantes,Aguascalientes,2020-08-23,68
Restaurantes,Aguascalientes,2020-08-30,70
Restaurantes,Aguascalientes,2020-09-06,48
Restaurantes,Aguascalientes,2020-09-13,68
Restaurantes,Aguascalientes,2020-09-20,45
Restaurantes,Aguascalientes,2020-09-27,62
Restaurantes,Aguascalientes,2020-10-04,67
Restaurantes,Aguascalientes,2020-10-11,97
Restaurantes,Aguascalientes,2020-10-18,89
Restaurantes,Aguascalientes,2020-10-25,75
Restaurantes,Aguascalientes,2020-11-01,68
Restaurantes,Aguascalientes,2020-11-08,53
Restaurantes,Aguascalientes,2020-11-15,75
Restaurantes,Aguascalientes,2020-11-22,57
Restaurantes,Aguascalientes,2020-11-29,77
Restaurantes,Aguascalientes,2020-12-06,51
Restaurantes,Aguascalientes,2020-12-13,67
Restaurantes,Aguascalientes,2020-12-20,100
Restaurantes,Aguascalientes,2020-12-27,79
Restaurantes,Aguascalientes,2021-01-03,37
Restaurantes,Aguascalientes,2021-01-10,56
Restaurantes,Aguascalientes,2021-01-17,72
Restaurantes,Aguascalientes,2021-01-24,70
Restaurantes,Aguascalientes,2021-01-31,59
Restaurantes,Aguascalientes,2021-02-07,64
Restaurantes,Aguascalientes,2021-02-14,69
Restaurantes,Aguascalientes,2021-02-21,73
Restaurantes,Aguascalientes,2021-02-28,77
Restaurantes,Aguascalientes,2021-03-07,57
Restaurantes,Aguascalientes,2021-03-14,71
Restaurantes,Aguascalientes,2021-03-21,83
Restaurantes,Aguascalientes,2021-03-28,59
Restaurantes,Aguascalientes,2021-04-04,69
Restaurantes,Aguascalientes,2021-04-11,47
Restaurantes,Aguascalientes,2021-04-18,61
Restaurantes,Aguascalientes,2021-04-25,96
Restaurantes,Aguascalientes,2021-05-02,88
Restaurantes,Aguascalientes,2021-05-09,80
Restaurantes,Aguascalientes,2021-05-16,63
Restaurantes,Aguascalientes,2021-05-23,99
Restaurantes,Aguascalientes,2021-05-30,93
Restaurantes,Aguascalientes,2021-06-06,71
Restaurantes,Baja California,2016-06-19,65
Restaurantes,Baja California,2016-06-26,53
Restaurantes,Baja California,2016-07-03,66
Restaurantes,Baja California,2016-07-10,65
Restaurantes,Baja California,2016-07-17,69
Restaurantes,Baja California,2016-07-24,58
Restaurantes,Baja California,2016-07-31,63
Restaurantes,Baja California,2016-08-07,51
Restaurantes,Baja California,2016-08-14,70
Restaurantes,Baja California,2016-08-21,69
Restaurantes,Baja California,2016-08-28,59
Restaurantes,Baja California,2016-09-04,68
Restaurantes,Baja California,2016-09-11,59
Restaurantes,Baja California,2016-09-18,66
Restaurantes,Baja California,2016-09-25,63
Restaurantes,Baja California,2016-10-02,55
Restaurantes,Baja California,2016-10-09,66
Restaurantes,Baja California,2016-10-16,67
Restaurantes,Baja California,2016-10-23,57
Restaurantes,Baja California,2016-10-30,60
Restaurantes,Baja California,2016-11-06,62
Restaurantes,Baja California,2016-11-13,59
Restaurantes,Baja California,2016-11-20,67
Restaurantes,Baja California,2016-11-27,66
Restaurantes,Baja California,2016-12-04,57
Restaurantes,Baja California,2016-12-11,77
Restaurantes,Baja California,2016-12-18,69
Restaurantes,Baja California,2016-12-25,62
Restaurantes,Baja California,2017-01-01,68
Restaurantes,Baja California,2017-01-08,53
Restaurantes,Baja California,2017-01-15,56
Restaurantes,Baja California,2017-01-22,71
Restaurantes,Baja California,2017-01-29,51
Restaurantes,Baja California,2017-02-05,65
Restaurantes,Baja California,2017-02-12,83
Restaurantes,Baja California,2017-02-19,54
Restaurantes,Baja California,2017-02-26,73
Restaurantes,Baja California,2017-03-05,49
Restaurantes,Baja California,2017-03-12,57
Restaurantes,Baja California,2017-03-19,58
Restaurantes,Baja California,2017-03-26,60
Restaurantes,Baja California,2017-04-02,57
Restaurantes,Baja California,2017-04-09,59
Restaurantes,Baja California,2017-04-16,60
Restaurantes,Baja California,2017-04-23,67
Restaurantes,Baja California,2017-04-30,64
Restaurantes,Baja California,2017-05-07,65
Restaurantes,Baja California,2017-05-14,69
Restaurantes,Baja California,2017-05-21,59
Restaurantes,Baja California,2017-05-28,76
Restaurantes,Baja California,2017-06-04,70
Restaurantes,Baja California,2017-06-11,65
Restaurantes,Baja California,2017-06-18,73
Restaurantes,Baja California,2017-06-25,58
Restaurantes,Baja California,2017-07-02,67
Restaurantes,Baja California,2017-07-09,72
Restaurantes,Baja California,2017-07-16,80
Restaurantes,Baja California,2017-07-23,72
Restaurantes,Baja California,2017-07-30,71
Restaurantes,Baja California,2017-08-06,63
Restaurantes,Baja California,2017-08-13,78
Restaurantes,Baja California,2017-08-20,46
Restaurantes,Baja California,2017-08-27,69
Restaurantes,Baja California,2017-09-03,63
Restaurantes,Baja California,2017-09-10,59
Restaurantes,Baja California,2017-09-17,49
Restaurantes,Baja California,2017-09-24,50
Restaurantes,Baja California,2017-10-01,58
Restaurantes,Baja California,2017-10-08,56
Restaurantes,Baja California,2017-10-15,54
Restaurantes,Baja California,2017-10-22,66
Restaurantes,Baja California,2017-10-29,56
Restaurantes,Baja California,2017-11-05,60
Restaurantes,Baja California,2017-11-12,62
Restaurantes,Baja California,2017-11-19,59
Restaurantes,Baja California,2017-11-26,58
Restaurantes,Baja California,2017-12-03,60
Restaurantes,Baja California,2017-12-10,66
Restaurantes,Baja California,2017-12-17,70
Restaurantes,Baja California,2017-12-24,65
Restaurantes,Baja California,2017-12-31,71
Restaurantes,Baja California,2018-01-07,58
Restaurantes,Baja California,2018-01-14,72
Restaurantes,Baja California,2018-01-21,53
Restaurantes,Baja California,2018-01-28,63
Restaurantes,Baja California,2018-02-04,63
Restaurantes,Baja California,2018-02-11,68
Restaurantes,Baja California,2018-02-18,57
Restaurantes,Baja California,2018-02-25,60
Restaurantes,Baja California,2018-03-04,62
Restaurantes,Baja California,2018-03-11,70
Restaurantes,Baja California,2018-03-18,67
Restaurantes,Baja California,2018-03-25,62
Restaurantes,Baja California,2018-04-01,74
Restaurantes,Baja California,2018-04-08,59
Restaurantes,Baja California,2018-04-15,57
Restaurantes,Baja California,2018-04-22,72
Restaurantes,Baja California,2018-04-29,70
Restaurantes,Baja California,2018-05-06,76
Restaurantes,Baja California,2018-05-13,60
Restaurantes,Baja California,2018-05-20,70
Restaurantes,Baja California,2018-05-27,72
Restaurantes,Baja California,2018-06-03,73
Restaurantes,Baja California,2018-06-10,69
Restaurantes,Baja California,2018-06-17,65
Restaurantes,Baja California,2018-06-24,72
Restaurantes,Baja California,2018-07-01,82
Restaurantes,Baja California,2018-07-08,70
Restaurantes,Baja California,2018-07-15,80
Restaurantes,Baja California,2018-07-22,71
Restaurantes,Baja California,2018-07-29,73
Restaurantes,Baja California,2018-08-05,79
Restaurantes,Baja California,2018-08-12,67
Restaurantes,Baja California,2018-08-19,71
Restaurantes,Baja California,2018-08-26,65
Restaurantes,Baja California,2018-09-02,62
Restaurantes,Baja California,2018-09-09,51
Restaurantes,Baja California,2018-09-16,60
Restaurantes,Baja California,2018-09-23,65
Restaurantes,Baja California,2018-09-30,70
Restaurantes,Baja California,2018-10-07,66
Restaurantes,Baja California,2018-10-14,64
Restaurantes,Baja California,2018-10-21,56
Restaurantes,Baja California,2018-10-28,63
Restaurantes,Baja California,2018-11-04,60
Restaurantes,Baja California,2018-11-11,66
Restaurantes,Baja California,2018-11-18,64
Restaurantes,Baja California,2018-11-25,62
Restaurantes,Baja California,2018-12-02,57
Restaurantes,Baja California,2018-12-09,58
Restaurantes,Baja California,2018-12-16,70
Restaurantes,Baja California,2018-12-23,70
Restaurantes,Baja California,2018-12-30,75
Restaurantes,Baja California,2019-01-06,76
Restaurantes,Baja California,2019-01-13,69
Restaurantes,Baja California,2019-01-20,72
Restaurantes,Baja California,2019-01-27,68
Restaurantes,Baja California,2019-02-03,66
Restaurantes,Baja California,2019-02-10,75
Restaurantes,Baja California,2019-02-17,70
Restaurantes,Baja California,2019-02-24,75
Restaurantes,Baja California,2019-03-03,71
Restaurantes,Baja California,2019-03-10,62
Restaurantes,Baja California,2019-03-17,72
Restaurantes,Baja California,2019-03-24,65
Restaurantes,Baja California,2019-03-31,81
Restaurantes,Baja California,2019-04-07,66
Restaurantes,Baja California,2019-04-14,72
Restaurantes,Baja California,2019-04-21,62
Restaurantes,Baja California,2019-04-28,60
Restaurantes,Baja California,2019-05-05,74
Restaurantes,Baja California,2019-05-12,64
Restaurantes,Baja California,2019-05-19,65
Restaurantes,Baja California,2019-05-26,80
Restaurantes,Baja California,2019-06-02,65
Restaurantes,Baja California,2019-06-09,80
Restaurantes,Baja California,2019-06-16,66
Restaurantes,Baja California,2019-06-23,80
Restaurantes,Baja California,2019-06-30,77
Restaurantes,Baja California,2019-07-07,64
Restaurantes,Baja California,2019-07-14,68
Restaurantes,Baja California,2019-07-21,82
Restaurantes,Baja California,2019-07-28,80
Restaurantes,Baja California,2019-08-04,77
Restaurantes,Baja California,2019-08-11,80
Restaurantes,Baja California,2019-08-18,82
Restaurantes,Baja California,2019-08-25,79
Restaurantes,Baja California,2019-09-01,78
Restaurantes,Baja California,2019-09-08,73
Restaurantes,Baja California,2019-09-15,82
Restaurantes,Baja California,2019-09-22,73
Restaurantes,Baja California,2019-09-29,69
Restaurantes,Baja California,2019-10-06,66
Restaurantes,Baja California,2019-10-13,65
Restaurantes,Baja California,2019-10-20,62
Restaurantes,Baja California,2019-10-27,81
Restaurantes,Baja California,2019-11-03,69
Restaurantes,Baja California,2019-11-10,66
Restaurantes,Baja California,2019-11-17,74
Restaurantes,Baja California,2019-11-24,74
Restaurantes,Baja California,2019-12-01,70
Restaurantes,Baja California,2019-12-08,69
Restaurantes,Baja California,2019-12-15,64
Restaurantes,Baja California,2019-12-22,74
Restaurantes,Baja California,2019-12-29,94
Restaurantes,Baja California,2020-01-05,56
Restaurantes,Baja California,2020-01-12,64
Restaurantes,Baja California,2020-01-19,65
Restaurantes,Baja California,2020-01-26,69
Restaurantes,Baja California,2020-02-02,69
Restaurantes,Baja California,2020-02-09,76
Restaurantes,Baja California,2020-02-16,59
Restaurantes,Baja California,2020-02-23,75
Restaurantes,Baja California,2020-03-01,77
Restaurantes,Baja California,2020-03-08,57
Restaurantes,Baja California,2020-03-15,48
Restaurantes,Baja California,2020-03-22,71
Restaurantes,Baja California,2020-03-29,53
Restaurantes,Baja California,2020-04-05,65
Restaurantes,Baja California,2020-04-12,64
Restaurantes,Baja California,2020-04-19,56
Restaurantes,Baja California,2020-04-26,82
Restaurantes,Baja California,2020-05-03,53
Restaurantes,Baja California,2020-05-10,71
Restaurantes,Baja California,2020-05-17,69
Restaurantes,Baja California,2020-05-24,61
Restaurantes,Baja California,2020-05-31,70
Restaurantes,Baja California,2020-06-07,63
Restaurantes,Baja California,2020-06-14,75
Restaurantes,Baja California,2020-06-21,77
Restaurantes,Baja California,2020-06-28,84
Restaurantes,Baja California,2020-07-05,77
Restaurantes,Baja California,2020-07-12,89
Restaurantes,Baja California,2020-07-19,74
Restaurantes,Baja California,2020-07-26,69
Restaurantes,Baja California,2020-08-02,87
Restaurantes,Baja California,2020-08-09,81
Restaurantes,Baja California,2020-08-16,80
Restaurantes,Baja California,2020-08-23,69
Restaurantes,Baja California,2020-08-30,76
Restaurantes,Baja California,2020-09-06,78
Restaurantes,Baja California,2020-09-13,82
Restaurantes,Baja California,2020-09-20,83
Restaurantes,Baja California,2020-09-27,78
Restaurantes,Baja California,2020-10-04,81
Restaurantes,Baja California,2020-10-11,90
Restaurantes,Baja California,2020-10-18,77
Restaurantes,Baja California,2020-10-25,83
Restaurantes,Baja California,2020-11-01,77
Restaurantes,Baja California,2020-11-08,63
Restaurantes,Baja California,2020-11-15,80
Restaurantes,Baja California,2020-11-22,74
Restaurantes,Baja California,2020-11-29,68
Restaurantes,Baja California,2020-12-06,81
Restaurantes,Baja California,2020-12-13,73
Restaurantes,Baja California,2020-12-20,86
Restaurantes,Baja California,2020-12-27,80
Restaurantes,Baja California,2021-01-03,69
Restaurantes,Baja California,2021-01-10,78
Restaurantes,Baja California,2021-01-17,67
Restaurantes,Baja California,2021-01-24,72
Restaurantes,Baja California,2021-01-31,76
Restaurantes,Baja California,2021-02-07,87
Restaurantes,Baja California,2021-02-14,78
Restaurantes,Baja California,2021-02-21,75
Restaurantes,Baja California,2021-02-28,84
Restaurantes,Baja California,2021-03-07,82
Restaurantes,Baja California,2021-03-14,80
Restaurantes,Baja California,2021-03-21,79
Restaurantes,Baja California,2021-03-28,75
Restaurantes,Baja California,2021-04-04,86
Restaurantes,Baja California,2021-04-11,84
Restaurantes,Baja California,2021-04-18,80
Restaurantes,Baja California,2021-04-25,78
Restaurantes,Baja California,2021-05-02,83
Restaurantes,Baja California,2021-05-09,95
Restaurantes,Baja California,2021-05-16,91
Restaurantes,Baja California,2021-05-23,98
Restaurantes,Baja California,2021-05-30,100
Restaurantes,Baja California,2021-06-06,71
Restaurantes,Baja California Sur,2016-06-19,27
Restaurantes,Baja California Sur,2016-06-26,41
Restaurantes,Baja California Sur,2016-07-03,25
Restaurantes,Baja California Sur,2016-07-10,45
Restaurantes,Baja California Sur,2016-07-17,74
Restaurantes,Baja California Sur,2016-07-24,40
Restaurantes,Baja California Sur,2016-07-31,22
Restaurantes,Baja California Sur,2016-08-07,29
Restaurantes,Baja California Sur,2016-08-14,23
Restaurantes,Baja California Sur,2016-08-21,57
Restaurantes,Baja California Sur,2016-08-28,42
Restaurantes,Baja California Sur,2016-09-04,30
Restaurantes,Baja California Sur,2016-09-11,48
Restaurantes,Baja California Sur,2016-09-18,38
Restaurantes,Baja California Sur,2016-09-25,24
Restaurantes,Baja California Sur,2016-10-02,35
Restaurantes,Baja California Sur,2016-10-09,45
Restaurantes,Baja California Sur,2016-10-16,37
Restaurantes,Baja California Sur,2016-10-23,38
Restaurantes,Baja California Sur,2016-10-30,38
Restaurantes,Baja California Sur,2016-11-06,49
Restaurantes,Baja California Sur,2016-11-13,64
Restaurantes,Baja California Sur,2016-11-20,34
